,tconst,averageRating,numVotes
61025,tt0084793,6.7,200
116452,tt0168154,7.9,200
1211179,tt5371212,7.2,200
81485,tt0108775,7.6,200
1007987,tt27811636,7.8,200
1211246,tt5372302,2.3,200
839299,tt1890472,6.6,200
1330705,tt7494416,6.9,200
976917,tt2620792,6.8,200
1071663,tt3225338,7.2,200
30963,tt0050316,6.9,200
88148,tt0116942,4.8,200
7098,tt0020869,5.2,200
34723,tt0054630,6.2,200
142500,tt0219769,4.8,200
1350284,tt7901878,5.8,200
696387,tt14465170,4.6,200
835590,tt1870372,3.4,200
1182411,tt4943562,4.4,200
1201839,tt5240178,8.5,200
102294,tt0141699,7.1,200
988376,tt2679030,7.1,200
125691,tt0185883,6.7,200
642891,tt1339488,5.0,200
395649,tt0792983,6.9,200
967924,tt2526668,6.3,200
181215,tt0299025,5.3,200
1172787,tt4760656,7.1,200
176496,tt0289911,2.5,200
1007530,tt27795373,5.6,200
217538,tt0381395,7.5,200
102280,tt0141667,3.7,200
765209,tt1600463,6.7,200
952462,tt2392683,3.8,200
40410,tt0061060,4.7,200
16335,tt0032796,5.7,200
68754,tt0093752,6.2,200
172467,tt0282585,4.6,199
891335,tt21265604,7.7,199
1113301,tt3802642,7.2,199
18243,tt0035021,6.7,199
53379,tt0075956,5.0,199
755078,tt15724180,6.1,199
35201,tt0055158,6.7,199
1129688,tt4073582,4.8,199
1211216,tt5371922,4.0,199
51035,tt0073218,6.1,199
50803,tt0072932,4.8,199
146041,tt0228237,3.2,199
513934,tt1095432,6.3,199
77926,tt0104475,7.4,199
751906,tt1565043,6.4,199
1127942,tt4048628,4.9,199
1209905,tt5350512,3.3,199
1285120,tt6557724,4.3,199
512190,tt10933000,5.2,199
75218,tt0101263,7.0,199
1285483,tt6565886,8.7,199
78325,tt0104953,6.9,199
191495,tt0319856,7.3,199
78672,tt0105386,6.3,199
616590,tt1289805,4.6,199
1134867,tt4152216,7.4,199
663721,tt1380279,7.3,199
984459,tt26629768,7.3,199
169921,tt0277984,6.9,199
36882,tt0057026,6.2,199
11472,tt0026762,6.8,199
717072,tt14888342,6.5,199
130626,tt0195341,5.3,199
253129,tt0464189,7.6,199
1387157,tt8767778,5.5,199
264567,tt0492702,6.3,199
688775,tt1430652,6.0,199
120366,tt0176374,7.5,199
52900,tt0075407,6.2,199
18284,tt0035074,5.0,199
4686,tt0015872,6.9,199
24866,tt0043086,6.6,199
9138,tt0023657,6.4,199
246293,tt0447014,6.7,199
171803,tt0281357,7.1,199
998406,tt27413559,8.0,199
52092,tt0074456,7.2,199
813430,tt1781237,5.4,199
1213371,tt5437194,5.0,199
25291,tt0043622,7.5,199
216098,tt0378366,5.4,199
1121283,tt3919716,1.9,199
93179,tt0123756,7.5,199
14987,tt0031169,6.3,199
1122497,tt3956198,5.5,199
53544,tt0076148,7.0,199
72720,tt0098313,5.3,199
931530,tt2293824,6.4,199
62667,tt0086698,6.6,199
1259944,tt6139984,8.0,199
780895,tt1649264,6.9,199
794032,tt17030826,6.6,199
628541,tt1313162,5.6,199
249774,tt0455929,5.7,199
907840,tt2190196,7.7,199
545227,tt11496136,7.4,199
635551,tt1326221,5.6,199
919138,tt22332334,6.8,199
1034617,tt2943104,7.4,199
1072655,tt3239958,6.7,199
703682,tt1460640,6.1,199
69255,tt0094345,7.5,199
695473,tt1444675,4.9,199
543745,tt11465274,6.3,199
251062,tt0459083,3.6,199
1076752,tt3294702,7.1,199
69704,tt0094857,6.2,199
452905,tt0978036,8.3,199
8042,tt0022197,5.5,199
249456,tt0455294,4.3,199
636370,tt1327804,6.4,199
1079077,tt3327086,5.3,199
140132,tt0215068,7.7,199
1028311,tt2903778,2.1,199
183367,tt0303635,7.2,199
32332,tt0051895,5.9,199
140879,tt0216603,5.3,199
918384,tt2229952,3.1,199
183911,tt0304716,8.1,199
123681,tt0182242,5.2,199
631183,tt1318067,6.3,199
1051273,tt3062620,6.7,199
65979,tt0090538,6.5,199
1048341,tt3038542,3.3,199
1054169,tt3084502,4.3,199
1253452,tt6046994,4.2,199
1055150,tt3091810,7.8,199
142059,tt0218831,6.4,199
1057274,tt3106314,7.7,199
16586,tt0033099,6.3,199
1057651,tt31079876,9.4,199
179462,tt0295603,4.5,199
113033,tt0161777,6.9,199
790997,tt1692954,6.6,199
558646,tt1175105,5.4,199
911169,tt21998510,6.9,199
177726,tt0292259,5.1,199
1058999,tt3115910,7.8,199
791494,tt1695352,3.0,199
1257292,tt6100408,3.9,199
559315,tt1176258,6.7,199
1062371,tt3142428,3.8,199
16574,tt0033086,6.1,199
1043159,tt2996710,5.4,199
449001,tt0962572,6.0,199
793356,tt17004916,5.2,199
96159,tt0128895,7.8,199
59487,tt0082988,7.2,199
1266046,tt6235414,5.9,199
712677,tt14792342,7.7,199
